state,count,t,run_no
Susceptible,3,0.0,0
Exposed,0,0.0,0
Infectious,1,0.0,0
Recovered,0,0.0,0
Susceptible,3,0.01,0
Exposed,0,0.01,0
Infectious,1,0.01,0
Recovered,0,0.01,0
Susceptible,3,0.02,0
Exposed,0,0.02,0
Infectious,1,0.02,0
Recovered,0,0.02,0
Susceptible,3,0.03,0
Exposed,0,0.03,0
Infectious,1,0.03,0
Recovered,0,0.03,0
Susceptible,3,0.04,0
Exposed,0,0.04,0
Infectious,1,0.04,0
Recovered,0,0.04,0
Susceptible,3,0.05,0
Exposed,0,0.05,0
Infectious,1,0.05,0
Recovered,0,0.05,0
Susceptible,3,0.060000000000000005,0
Exposed,0,0.060000000000000005,0
Infectious,1,0.060000000000000005,0
Recovered,0,0.060000000000000005,0
Susceptible,3,0.06999999999999999,0
Exposed,0,0.06999999999999999,0
Infectious,1,0.06999999999999999,0
Recovered,0,0.06999999999999999,0
Susceptible,3,0.08,0
Exposed,0,0.08,0
Infectious,1,0.08,0
Recovered,0,0.08,0
Susceptible,3,0.09,0
Exposed,0,0.09,0
Infectious,1,0.09,0
Recovered,0,0.09,0
Susceptible,3,0.09999999999999999,0
Exposed,0,0.09999999999999999,0
Infectious,1,0.09999999999999999,0
Recovered,0,0.09999999999999999,0
Susceptible,3,0.11,0
Exposed,0,0.11,0
Infectious,1,0.11,0
Recovered,0,0.11,0
Susceptible,3,0.12,0
Exposed,0,0.12,0
Infectious,1,0.12,0
Recovered,0,0.12,0
Susceptible,3,0.13,0
Exposed,0,0.13,0
Infectious,1,0.13,0
Recovered,0,0.13,0
Susceptible,3,0.14,0
Exposed,0,0.14,0
Infectious,1,0.14,0
Recovered,0,0.14,0
Susceptible,3,0.15000000000000002,0
Exposed,0,0.15000000000000002,0
Infectious,1,0.15000000000000002,0
Recovered,0,0.15000000000000002,0
Susceptible,3,0.16,0
Exposed,0,0.16,0
Infectious,1,0.16,0
Recovered,0,0.16,0
Susceptible,3,0.17,0
Exposed,0,0.17,0
Infectious,1,0.17,0
Recovered,0,0.17,0
Susceptible,3,0.18000000000000002,0
Exposed,0,0.18000000000000002,0
Infectious,1,0.18000000000000002,0
Recovered,0,0.18000000000000002,0
Susceptible,3,0.19,0
Exposed,0,0.19,0
Infectious,1,0.19,0
Recovered,0,0.19,0
